date,rr7_injection_yi,title,url
2026-01-04,365.0,公开市场业务交易公告 [2026]第1号,https://www.pbc.gov.cn/zhengcehuobisi/125207/125213/125431/125475/2026010408453722401/index.html
2026-01-05,135.0,公开市场业务交易公告 [2026]第2号,https://www.pbc.gov.cn/zhengcehuobisi/125207/125213/125431/125475/2026010508584356486/index.html
2026-01-06,162.0,公开市场业务交易公告 [2026]第3号,https://www.pbc.gov.cn/zhengcehuobisi/125207/125213/125431/125475/2026010609001943775/index.html
2026-01-07,286.0,公开市场业务交易公告 [2026]第4号,https://www.pbc.gov.cn/zhengcehuobisi/125207/125213/125431/125475/2026010709002991237/index.html
2026-01-08,99.0,公开市场业务交易公告 [2026]第5号,https://www.pbc.gov.cn/zhengcehuobisi/125207/125213/125431/125475/2026010809014425637/index.html
2026-01-09,340.0,公开市场业务交易公告 [2026]第6号,https://www.pbc.gov.cn/zhengcehuobisi/125207/125213/125431/125475/2026010909075259163/index.html
2026-01-12,861.0,公开市场业务交易公告 [2026]第7号,https://www.pbc.gov.cn/zhengcehuobisi/125207/125213/125431/125475/2026011208525825238/index.html
2026-01-13,3586.0,公开市场业务交易公告 [2026]第8号,https://www.pbc.gov.cn/zhengcehuobisi/125207/125213/125431/125475/2026011308503738436/index.html
2026-01-14,2408.0,公开市场业务交易公告 [2026]第9号,https://www.pbc.gov.cn/zhengcehuobisi/125207/125213/125431/125475/2026011408472665119/index.html
2026-01-15,1793.0,公开市场业务交易公告 [2026]第10号,https://www.pbc.gov.cn/zhengcehuobisi/125207/125213/125431/125475/2026011508473385575/index.html
2026-01-16,867.0,公开市场业务交易公告 [2026]第11号,https://www.pbc.gov.cn/zhengcehuobisi/125207/125213/125431/125475/2026011608455337052/index.html
2026-01-19,1583.0,公开市场业务交易公告 [2026]第12号,https://www.pbc.gov.cn/zhengcehuobisi/125207/125213/125431/125475/2026011908481483411/index.html
2026-01-20,3240.0,公开市场业务交易公告 [2026]第13号,https://www.pbc.gov.cn/zhengcehuobisi/125207/125213/125431/125475/2026012008442092830/index.html
2026-01-21,3635.0,公开市场业务交易公告 [2026]第14号,https://www.pbc.gov.cn/zhengcehuobisi/125207/125213/125431/125475/2026012108555847089/index.html
2026-01-22,2102.0,公开市场业务交易公告 [2026]第15号,https://www.pbc.gov.cn/zhengcehuobisi/125207/125213/125431/125475/2026012208565993604/index.html
2026-01-23,1250.0,公开市场业务交易公告 [2026]第16号,https://www.pbc.gov.cn/zhengcehuobisi/125207/125213/125431/125475/2026012308582282095/index.html
2026-01-26,1505.0,公开市场业务交易公告 [2026]第17号,https://www.pbc.gov.cn/zhengcehuobisi/125207/125213/125431/125475/2026012608442923199/index.html
2026-01-27,4020.0,公开市场业务交易公告 [2026]第18号,https://www.pbc.gov.cn/zhengcehuobisi/125207/125213/125431/125475/2026012708485419519/index.html
2026-01-28,3775.0,公开市场业务交易公告 [2026]第19号,https://www.pbc.gov.cn/zhengcehuobisi/125207/125213/125431/125475/2026012808581682582/index.html
2026-01-29,3540.0,公开市场业务交易公告 [2026]第20号,https://www.pbc.gov.cn/zhengcehuobisi/125207/125213/125431/125475/2026012908490765408/index.html
2026-01-30,4775.0,公开市场业务交易公告 [2026]第21号,https://www.pbc.gov.cn/zhengcehuobisi/125207/125213/125431/125475/2026013009055276464/index.html
